,name,album,artist,release_date,length,popularity,track_id,mode,acousticness,danceability,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,duration_ms,time_signature,genre
21,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016-04-29,222160,79,0azC730Exh71aQlOt9Zj3y,0,0.199,0.63,0.9279999999999999,0.124,0.148,0.465,-2.787,0.0331,123.963,222160,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
22,Alma de Pipa,4° Último,Tribo da Periferia,2016-12-23,169302,62,2Tr8fS7IQGlVbOoLX6vX3H,0,0.5429999999999999,0.836,0.352,0.0,0.0888,0.446,-10.063,0.0843,132.047,169302,4,"['brazilian edm', 'rap df']"
23,Maranata - Ao Vivo,Maranata,Ministério Avivah,2016-08-01,384760,62,21UUN3OEpS7Lr8YiN4xh4N,1,0.022,0.314,0.7979999999999999,3.63e-06,0.362,0.336,-5.851,0.0544,150.129,384760,4,"['adoracao', 'louvor icm', 'world worship']"
24,Medo Bobo - Ao Vivo,Ao Vivo Em Goiânia,Maiara & Maraisa,2016-03-04,174920,62,2CW04trIoYMbroZWDzPAjs,1,0.695,0.599,0.65,0.0,0.9690000000000001,0.346,-4.394,0.0263,91.98899999999999,174920,4,"['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista']"
25,Cheap Thrills,This Is Acting,Sia,2016-01-29,211666,77,27SdWb2rFzO6GWiYDBTD9j,0,0.0472,0.628,0.698,0.00143,0.0907,0.732,-5.608,0.105,89.976,211667,4,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
26,Dependente,De Volta Pro Amanhã,Sorriso Maroto,2016-06-03,221693,62,4kUpVCOVfhipS0KRuoBYvs,1,0.797,0.579,0.492,0.0,0.107,0.427,-7.864,0.0392,162.075,221693,4,"['pagode', 'sertanejo universitario']"
27,Peça Felicidade - Acústico,Peça Felicidade (Acústico),Melim,2016-08-05,136549,62,0x0nvnWLItdxqHNhUHj6Yn,0,0.22,0.516,0.3779999999999999,0.0,0.138,0.7509999999999999,-9.635,0.0456,144.068,136549,3,"['mpb', 'nova mpb', 'pop nacional']"
28,Como É Que a Gente Fica - Ao Vivo,Novas Histórias (Ao Vivo),Henrique & Juliano,2016-03-18,162480,62,41mt7YrfLrIc4EQJZFCJtw,1,0.654,0.4970000000000001,0.8340000000000001,0.0,0.3720000000000001,0.442,-3.218,0.0571,117.196,162480,3,"['pagode', 'pagode novo']"
29,PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,202746,78,0PDUDa38GO8lMxLCRc4lL1,1,0.117,0.584,0.7,0.0,0.0939,0.4379999999999999,-4.275,0.0456,124.944,202747,4,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
30,Dubai,Dubai,Hungria Hip Hop,2016-04-15,280218,62,16Ij1j3ZawPQ2vxsnusKLY,0,0.267,0.934,0.487,0.0,0.127,0.924,-9.281,0.283,139.97,280219,4,"['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro']"
31,Way down We Go,A/B,KALEO,2016-06-10,213706,77,0y1QJc3SJVPKJ1OvFmFqe6,0,0.579,0.489,0.505,0.000333,0.104,0.337,-8.022,0.117,163.255,213707,4,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']"
