,name,album,artist,release_date,length,popularity,track_id,mode,acousticness,danceability,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,duration_ms,time_signature,genre
0,Meu Abrigo,Melim,Melim,2018-06-08,231474,73,5U28PY9MekLyCBYtLHGQpe,1,0.214,0.6579999999999999,0.5720000000000001,0.0,0.125,0.741,-7.527,0.0304,92.01100000000001,231474,4,"['mpb', 'nova mpb', 'pop nacional']"
1,Poesia Acústica #6: Era uma Vez,Poesia Acústica #6: Era uma Vez,Various Artists,2018-12-24,577819,72,13Rf6RaZT13TW4xLQR3MQr,0,0.427,0.518,0.575,0.0,0.153,0.5770000000000001,-10.454,0.0524,93.885,577819,4,"['reggaeton', 'reggaeton flow']"
2,Deixa (feat. Ana Gabriela),Deixa (feat. Ana Gabriela),Lagum,2018-02-23,176025,72,3fLqmaO4vvZpFZSZy52VMp,1,0.821,0.498,0.326,0.0,0.193,0.323,-8.222999999999999,0.0631,81.457,176025,4,"['belo horizonte indie', 'brazilian edm', 'funk carioca', 'nova mpb']"
3,Ouvi Dizer,Melim,Melim,2018-06-08,210889,72,1qCLx3nX25NuhfPjM5E1qV,1,0.0745,0.6409999999999999,0.614,0.0,0.09300000000000001,0.727,-7.847,0.0532,81.01100000000001,210889,4,"['mpb', 'nova mpb', 'pop nacional']"
4,Lençol Dobrado,Lençol Dobrado,João Gustavo e Murilo,2018-06-08,179164,70,72xB2J9ZeBl0Rzxq2XmzdY,1,0.361,0.7070000000000001,0.664,0.0,0.331,0.674,-5.042,0.0382,124.991,179165,4,"['funk carioca', 'sertanejo pop', 'sertanejo universitario']"
5,Dois Corações,Melim,Melim,2018-06-08,182993,69,4xwPOyN9VgaTPehdsLiYul,1,0.8909999999999999,0.511,0.142,0.0,0.108,0.222,-11.271,0.0308,131.633,182993,4,"['mpb', 'nova mpb', 'pop nacional']"
6,Dizeres,Dizeres,Orgânico,2018-12-07,257645,69,3Vc8vnid3noqupe9PvUKxP,1,0.665,0.8320000000000001,0.484,1.02e-05,0.0822,0.83,-4.06,0.189,142.111,257646,4,[]
7,Nem de Graça,Nem de Graça,Pixote,2018-06-12,172202,69,11Y1IGMIThaxu4ijcXRNYs,0,0.336,0.706,0.8109999999999999,0.0,0.241,0.9279999999999999,-5.26,0.049,163.943,172203,4,"['funk carioca', 'pagode', 'sertanejo universitario']"
8,Dona de mim,Dona de mim,IZA,2018-04-27,208941,69,0H8CBal2Dcu5Yc001VotZN,0,0.0397,0.412,0.809,0.0,0.0899,0.254,-3.66,0.144,81.47,208941,4,"['cali rap', 'oakland hip hop', 'scam rap', 'trap soul', 'underground hip hop', 'vapor trap']"
9,Notificação Preferida - Ao Vivo,Esquece o Mundo Lá Fora (Ao Vivo) - Deluxe,Zé Neto & Cristiano,2018-07-13,182340,69,3tA0vALUwrzkTgHcm9j6oJ,0,0.778,0.398,0.838,0.0,0.189,0.206,-4.734,0.13,156.008,182341,3,['sertanejo pop']
10,Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo,Atitude 67 (Ao Vivo),Atitude 67,2018-02-23,210386,68,2PADJK4rhdklqFLQFa5oMX,1,0.599,0.6729999999999999,0.841,0.0,0.723,0.6629999999999999,-4.968,0.0591,162.961,210387,4,"['funk carioca', 'pop nacional', 'sertanejo pop']"
11,Lugar Secreto,Céu,Gabriela Rocha,2018-02-07,422333,68,7Dp0unlUzhQtk60rVq5mMC,0,0.146,0.309,0.613,0.00136,0.0811,0.147,-8.119,0.0375,137.38,422333,4,"['adoracao', 'brazilian gospel']"
12,Até Que Durou - Ao Vivo,Até Que Durou (Ao Vivo),Péricles,2018-06-15,313854,68,02uGRWxlEIbpdypNUvJoXm,0,0.5760000000000001,0.477,0.715,0.0,0.736,0.597,-5.524,0.0435,136.155,313855,4,[]
13,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,88,0u2P5u6lvoDfwTYjAADbn4,0,0.934,0.351,0.296,0.0,0.095,0.12,-10.109,0.0333,115.284,200186,4,"['electropop', 'pop']"
14,Nave Espacial - Radio Edit,Nave Espacial,Liu,2018-12-07,185341,68,709F4UQ2uKplKvcD88xffa,0,0.119,0.777,0.763,4.65e-06,0.158,0.242,-6.882999999999999,0.0974,127.022,185341,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
15,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,88,2xLMifQCjDGFmkHkpNLD9h,1,0.00513,0.8340000000000001,0.73,0.0,0.124,0.446,-3.714,0.222,155.008,312820,4,['rap']
16,O Sol,Adrenalizou,Vitor Kley,2018-10-18,211447,68,6MhQepBa5fq6GAeOKBlUd2,0,0.0302,0.62,0.6940000000000001,0.0,0.117,0.631,-4.254,0.0261,97.48,211448,4,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop']"
17,Happier,Happier,Marshmello,2018-08-17,214289,85,2dpaYNEQHiRxtZbfNsse99,1,0.191,0.687,0.792,0.0,0.167,0.6709999999999999,-2.749,0.0452,100.015,214290,4,"['chicago rap', 'melodic rap']"
18,Cem Mil - Ao Vivo,O Embaixador (ao Vivo),Gusttavo Lima,2018-10-26,203739,67,5eMmT4Ava5BGThju0AD8vQ,1,0.309,0.9009999999999999,0.8190000000000001,0.0,0.701,0.924,-1.874,0.051,129.935,203740,4,"['pop nacional', 'sertanejo universitario']"
19,Sua Mãe Vai Me Amar,Sua Mãe Vai Me Amar,Turma do Pagode,2018-06-28,183758,67,4fMjqKYYsvtT6Fvca8lGFl,0,0.4,0.5710000000000001,0.816,0.0,0.8079999999999999,0.9420000000000001,-6.011,0.0374,163.941,183759,4,"['funk carioca', 'pagode', 'pagode novo', 'sertanejo universitario']"
20,Ousado Amor,Isaias Saad,Isaias Saad,2018-08-07,333902,67,5qyFts6geTWeNbMeYQcPai,0,0.057,0.37,0.5529999999999999,1.84e-06,0.0917,0.114,-6.112,0.0294,110.657,333903,4,['adoracao']
21,Largado Às Traças - Ao Vivo,Esquece o Mundo Lá Fora (Ao Vivo) - Deluxe,Zé Neto & Cristiano,2018-07-13,234961,67,371Up3WP7OqJNFPf0BiyUe,0,0.611,0.6940000000000001,0.8690000000000001,0.0,0.535,0.7859999999999999,-5.26,0.0857,121.996,234961,4,['sertanejo pop']
